Name,Position,Service,Off_Svc,Year,Nom_Rcvd,Nom_Conf,Nom_Lag,Congress,POTUS,P_Party,S_Party,Vote_Type,Vote_Simple,DYes,Dno,Dnv,Ryes,Rno,Rnv,Sen_Pres,Renomination,Notes
"McChrystal, Stanley A.",USFORA,DoD,USA,2009,5/18/09,6/10/09,23,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"McDew, Darren W.",AFAMC,USAF,USAF,2014,3/10/14,3/31/14,21,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"McDew, Darren W.",TRANSCOM,DoD,USAF,2015,6/4/15,7/27/15,53,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"McKiernan, David D.",USAREUR,USA,USA,2005,11/10/05,11/18/05,8,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"McKiernan, David D.",USFORA,DoD,USA,2008,9/8/08,10/2/08,24,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"McKinley, Craig R.",NGB,DoD,USAF,2008,9/8/08,10/2/08,24,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"McNabb, Duncan J.",ACC,USAF,USAF,2005,7/14/05,9/30/05,78,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"McNabb, Duncan J.",TRANSCOM,DoD,USAF,2008,7/10/08,8/1/08,22,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"McNabb, Duncan J.",VCSAF,USAF,USAF,2007,6/21/07,8/1/07,41,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"McNeill, Dan K.",FORSCOM,USA,USA,2004,3/11/04,4/29/04,49,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"McNeill, Dan K.",USFORA,DoD,USA,2007,,,0,110,"Bush, GW",Republican,Democrat,NATO,NoVote,,,,,,,0,,
"McRaven, William H.",SOCOM,DoD,USN,2011,4/6/11,6/30/11,85,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Meigs, Montgomery C.",USAREUR,USA,USA,1998,7/17/98,9/25/98,70,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Mies, Richard W.",STRATCOM,DoD,USN,1998,4/29/98,6/25/98,57,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Milley, Mark A.",CSA,USA ,USA,2015,6/4/15,8/5/15,62,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Milley, Mark A.",FORSCOM,USA,USA,2014,7/7/14,7/23/14,16,113,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Moorman, Thomas S., Jr.",VCSAF,USAF,USAF,1994,5/5/94,7/15/94,71,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Moran, William F.",VCNO,USN,USN,2016,5/11/16,5/26/16,15,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Moseley, T. Michael",CSAF,USAF,USAF,2005,5/16/05,6/30/05,45,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Moseley, T. Michael",VCSAF,USAF,USAF,2003,5/20/03,7/31/03,72,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Mullen, Michael G.",CJCS,DoD,USN,2007,6/28/07,8/3/07,36,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Mullen, Michael G.",CJCS,DoD,USN,2009,5/20/09,9/25/09,128,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,1,
"Mullen, Michael G.",CNO,USN,USN,2005,3/2/05,4/28/05,57,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Mullen, Michael G.",NAVEUR,USN,USN,2004,5/3/04,6/24/04,52,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Mullen, Michael G.",VCNO,USN,USN,2003,5/22/03,6/27/03,36,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Myers, Richard",CJCS,DoD,USAF,2001,9/4/01,9/14/01,10,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Myers, Richard",CJCS,DoD,USAF,2003,6/18/03,7/31/03,43,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,1,
"Myers, Richard B.",PACAF,USAF,USAF,1997,4/14/97,5/21/97,37,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Myers, Richard B.",SPACE,DoD,USAF,1998,6/9/98,6/25/98,16,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Myers, Richard B.",VCJCS,DoD,USAF,2000,10/13/99,10/29/99,16,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Nathman, John B.",FFC,USN,USN,2006,2/7/05,2/17/05,10,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Nathman, John B.",VCNO,USN,USN,2004,6/1/04,7/22/04,51,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Natter, Robert J.",LANTFLT,USN,USN,2000,5/23/00,5/25/00,2,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Neal, Richard I.",ACMC,USMC,USMC,1996,3/28/96,6/20/96,84,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Neller, Robert B.",CMC,USMC,USMC,2015,7/15/15,8/5/15,21,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Newton, Lloyd W.",AETC,USAF,USAF,1997,1/7/97,1/30/97,23,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Nicholson Jr, John W.",USFORA,DoD,USA,2016,1/27/16,2/4/16,8,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"North, Gary L.",PACAF,USAF,USAF,2009,7/8/09,7/31/09,23,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Nyland, William L.",ACMC,USMC,USMC,2002,7/16/02,7/31/02,15,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"O'Shaughnessy, Terrence J.",AFPAC,USAF,USAF,2016,6/9/16,6/29/16,20,114,"Obama, Barrack",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Oaks, Robert C.",USAFE,USAF,USAF,1994,5/24/94,6/22/94,29,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Odierno, Raymond T.",CSA,USA ,USA,2011,6/6/11,8/2/11,57,112,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Odierno, Raymond T.",JFCOM,DoD,USA,2010,5/24/10,6/30/10,37,111,"Obama, Barrack",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Odierno, Raymond T.",MNFI,DoD,USA,2008,2/5/08,7/10/08,156,110,"Bush, GW",Republican,Democrat,Rollcall,Rollcall,48,1,2,48,0,1,0,,Both presidential candidates not voting
"Olson, Eric T.",SOCOM,DoD,USN,2007,5/10/07,6/28/07,49,110,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Owens, William A.",VCJCS,DoD,USN,1994,1/27/94,2/9/94,13,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Owens, William A.",,DoD,USN,1993,10/20/93,11/8/93,19,103,"Clinton, Bill",Democrat,Democrat,Voice,Voice/UC,,,,,,,1,,
"Pace, Peter",CJCS,DoD,USMC,2005,4/25/05,7/15/05,81,109,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,,
"Pace, Peter",SOUTHCOM,DoD,USMC,2000,7/18/00,9/7/00,51,106,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Pace, Peter",VCJCS,DoD,USMC,2001,9/4/01,9/26/01,22,107,"Bush, GW",Republican,Democrat,Voice,Voice/UC,,,,,,,0,,
"Pace, Peter",VCJCS,DoD,USMC,2003,6/18/03,7/31/03,43,108,"Bush, GW",Republican,Republican,Voice,Voice/UC,,,,,,,1,1,
"Pace, Peter",CJCS,DoD,USMC,2007,,,,109,"Bush, GW",Republican,Democrat,Not Submitted,Withdrawn,,,,,,,0,1,
"Pawlikowski, Ellen M.",AFMC,USAF,USAF,2015,2/12/15,3/27/15,43,114,"Obama, Barrack",Democrat,Republican,Voice,Withdrawn,,,,,,,0,,
"Paxton, John M., Jr.",ACMC,USMC,USMC,2012,11/13/12,12/3/12,20,112,"Obama, Barrack",Democrat,Democrat,Voice,Withdrawn,,,,,,,1,,
"Peay, Binford J.H., III",CENTCOM,DoD,USA,1994,5/10/94,6/22/94,43,103,"Clinton, Bill",Democrat,Democrat,Voice,Withdrawn,,,,,,,1,,
"Peay, Binford J.H., III",VCSA,USA,USA,1993,1/7/93,3/26/93,78,103,"Clinton, Bill",Democrat,Democrat,Unanimous Consent,Withdrawn,,,,,,,1,,
"Perkins, David G.",TRADOC,USA,USA,2013,9/17/13,12/20/13,94,113,"Obama, Barrack",Democrat,Democrat,Voice,Withdrawn,,,,,,,1,,
"Perna, Gustave F.",AAMC,USAF,USA,2016,9/6/16,9/15/16,9,114,"Obama, Barrack",Democrat,Republican,Voice,Withdrawn,,,,,,,0,,
"Petraeus, David H.",CENTCOM,DoD,USA,2008,4/30/08,7/10/08,71,110,"Bush, GW",Republican,Democrat,Rollcall,Rollcall,47,2,2,48,0,1,0,,
"Petraeus, David H.",MNFI,DoD,USA,2007,1/16/07,1/26/07,10,110,"Bush, GW",Republican,Democrat,Rollcall,Rollcall,44,0,7,37,0,12,0,,
"Petraeus, David H.",USFORA,DoD,USA,2010,6/24/10,6/30/10,6,111,"Obama, Barrack",Democrat,Democrat,Rollcall,Rollcall,57,0,0,42,0,0,1,,
"Pilling, Donald L.",VCNO,USN,USN,1997,10/9/97,10/30/97,21,105,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Prueher, Joseph W.",PACOM,DoD,USN,1996,1/10/96,1/30/96,20,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
"Prueher, Joseph W.",VCNO,USN,USN,1995,2/22/95,4/6/95,43,104,"Clinton, Bill",Democrat,Republican,Voice,Voice/UC,,,,,,,0,,
